year,state,month,number,date
1998,Acre,Janeiro,0,19980101
1999,Acre,Janeiro,0,19990101
2000,Acre,Janeiro,0,20000101
2001,Acre,Janeiro,0,20010101
2002,Acre,Janeiro,0,20020101
2003,Acre,Janeiro,10,20030101
2004,Acre,Janeiro,0,20040101
2005,Acre,Janeiro,12,20050101
2006,Acre,Janeiro,4,20060101
2007,Acre,Janeiro,0,20070101
2008,Acre,Janeiro,0,20080101
2009,Acre,Janeiro,0,20090101
2010,Acre,Janeiro,1,20100101
2011,Acre,Janeiro,0,20110101
2012,Acre,Janeiro,0,20120101
2013,Acre,Janeiro,0,20130101
2014,Acre,Janeiro,0,20140101
2015,Acre,Janeiro,1,20150101
2016,Acre,Janeiro,12,20160101
2017,Acre,Janeiro,0,20170101
1998,Acre,Fevereiro,0,19980101
1999,Acre,Fevereiro,0,19990101
2000,Acre,Fevereiro,0,20000101
2001,Acre,Fevereiro,0,20010101
2002,Acre,Fevereiro,1,20020101
2003,Acre,Fevereiro,0,20030101
2004,Acre,Fevereiro,3,20040101
2005,Acre,Fevereiro,0,20050101
2006,Acre,Fevereiro,0,20060101
2007,Acre,Fevereiro,5,20070101
2008,Acre,Fevereiro,0,20080101
2009,Acre,Fevereiro,2,20090101
2010,Acre,Fevereiro,0,20100101
2011,Acre,Fevereiro,0,20110101
2012,Acre,Fevereiro,0,20120101
2013,Acre,Fevereiro,0,20130101
2014,Acre,Fevereiro,0,20140101
2015,Acre,Fevereiro,2,20150101
2016,Acre,Fevereiro,5,20160101
2017,Acre,Fevereiro,1,20170101
1998,Acre,Mar�o,0,19980101
1999,Acre,Mar�o,0,19990101
2000,Acre,Mar�o,11,20000101
2001,Acre,Mar�o,0,20010101
2002,Acre,Mar�o,0,20020101
2003,Acre,Mar�o,0,20030101
2004,Acre,Mar�o,0,20040101
2005,Acre,Mar�o,3,20050101
2006,Acre,Mar�o,0,20060101
2007,Acre,Mar�o,2,20070101
2008,Acre,Mar�o,0,20080101
2009,Acre,Mar�o,1,20090101
2010,Acre,Mar�o,0,20100101
2011,Acre,Mar�o,0,20110101
